Name,Field(s),Date,Notes,Cleaned_Notes
Albertina Carlsson,,1848-1930,Swedish zoologist,Swedish zoologist
Mary Agnes Meara Chase,,1869-1963,American biologist,American biologist
Cornelia Clapp,,1849-1934,American zoologist,American zoologist
Anna Botsford Comstock,,1854-1930,American natural historian,American natural historian
Clara Eaton Cummings,,1855-1906,American botanist,American botanist
Eunice P. Cutter,,1819-1898,American author of anatomy textbooks,American author of anatomy textbooks
Lydia Maria Adams DeWitt,,1859-1928,American pathologist,American pathologist
Mary Cynthia Dickerson,,1866-1923,"American herpetologist, museum curator and writer","American herpetologist, museum curator and writer"
Amalie Dietrich,,1821-1891,German natural historian,German natural historian
Alice Eastwood,,1859-1953,American biologist,American biologist
Rosa Smith Eigenmann,,1858-1947,American biologist,American biologist
Olga Fedtschenko,,1845-1921,Russian botanist,Russian botanist
Maria Elizabeth Fernald,,1839-1919,American entomologist,American entomologist
Elisabetta Fiorini Mazzanti,,1799-1879,Italian botanist,Italian botanist
Susanna Phelps Gage,,1857-1915,American embryologist and comparative anatomist,American embryologist and comparative anatomist
Lilian Jane Gould,,1861-1936,British biologist,British biologist
Amelia Griffiths,,1768-1858,British phycologist,British phycologist
Marian E. Hubbard,,1868-1956,American zoologist,American zoologist
Agnes Ibbetson,,1757-1823,English vegetable physiologist,English vegetable physiologist
Susan Hallowell,,1835-1911,American botanist,American botanist
Gabrielle Howard,,1876-1930,British plant physiologist,British plant physiologist
Ellen Hutchins,,1785-1815,Irish botanist,Irish botanist
Ida Henrietta Hyde,,1857-1945,American biologist,American biologist
Maria Elizabetha Jacson,,1755-1829,English botanist,English botanist
Alice Johnson,,1860-1940,English zoologist,English zoologist
JÃ³zefa Joteyko,,1866-1928,"physiologist, psychologist, pedagogist","physiologist, psychologist, pedagogist"
Josephine Kablick,,1787-1863,botanist,botanist
Helen Dean King,,1869-1955,American biologist,American biologist
Phoebe Lankester,,1825-1900,British botanist,British botanist
Marie-Anne Libert,,1782-1865,Belgian botanist and mycologist,Belgian botanist and mycologist
Friederike Lienig,,1790-1855,German-Baltic entomologist,German-Baltic entomologist
Elizabeth Eaton Morse,,1864-1955,American mycologist/cryptogamist,American mycologist/cryptogamist
Katharine Murray Lyell,,1817-1915,British botanist,British botanist
Helen Abbott Michael,,1857-1904,American botanist and chemist,American botanist and chemist
Olive Thorne Miller,,1831-1918,American natural historian,American natural historian
Maria Gugelberg von Moos,,1836-1918,Swiss botanist,Swiss botanist
Margaretta Morris,,1797-1867,American entomologist,American entomologist
Mary Murtfeldt,,1848-1913,American biologist,American biologist
Eleanor Anne Ormerod,,1828-1901,British biologist,British biologist
Edith Marion Patch,,1876-1954,American biologist,American biologist
Maria Louisa Pike,,1892,American naturalist,American naturalist
Beatrix Potter,,1866-1943,British mycologist,British mycologist
Mary Jane Rathbun,,1860-1943,American marine biologist,American marine biologist
Margaretta Riley,,1804-1899,British botanic,British botanic
Caroline Rosenberg,,1810-1902,Danish botanist,Danish botanist
Ethel Sargant,,1863-1918,British biologist,British biologist
Hazel Schmoll,,1890-1990,American botanist working on plant life in Colorado,American botanist working on plant life in Colorado
Lilian Sheldon,,1862-1942,English zoologist,English zoologist
Alexandra Smirnoff,,1838-1913,Finnish pomologist,Finnish pomologist
Annie Lorrain Smith,,1854-1937,British lichenologist and mycologist,British lichenologist and mycologist
Emilie Snethlage,,1868-1929,German-Brazilian naturalist and ornithologist,German-Brazilian naturalist and ornithologist
Nettie Stevens,,1861-1912,American geneticist,American geneticist
Jantina Tammes,,1871-1947,Dutch botanist and geneticist,Dutch botanist and geneticist
Charlotte De Bernier Taylor,,1806-1863,American entomologist,American entomologist
Mary Treat,,1830-1923,American naturalist,American naturalist
Anna Vickers,,1852-1906,marine algologist,marine algologist
Jeanne Villepreux-Power,,1794-1871,French marine biologist,French marine biologist
Anna Maria Walker,,1778-1852,Scottish botanist,Scottish botanist
Elizabeth Andrew Warren,,1786-1864,Cornish botanist,Cornish botanist
Mary Anne Whitby,,1784-1850,English breeder of silkworms,English breeder of silkworms
Mary Pirie,,1822-1885,Scottish botanist,Scottish botanist
Ida Freund,,,,
Vera Bogdanovskaia,,1868-1897,Russian chemist,Russian chemist
Ida Freund,,1863-1914,first woman to be a university chemistry lecturer in the United Kingdom,first woman to be a university chemistry lecturer in the United Kingdom
Louise HammarstrÃ¶m,,1849-1917,Swedish chemist,Swedish chemist
Edith Humphrey,,1875-1978,probably the first British woman to gain a doctorate in chemistry,probably the first British woman to gain a doctorate in chemistry
Julia Lermontova,,1846-1919,Russian chemist,Russian chemist
Laura Linton,,1853-1915,American chemist,American chemist
Rachel Lloyd,,1839-1900,American chemist,American chemist
Adelaida Lukanina,,1843-1908,Russian physician and chemist,Russian physician and chemist
Frances Micklethwait,,1867-1950,British research chemist,British research chemist
Muriel Wheldale Onslow,,1880-1932,British biochemist,British biochemist
Marie Pasteur,,1826-1910,French chemist and bacteriologist,French chemist and bacteriologist
Mary Engle Pennington,,1872-1952,American chemist,American chemist
Agnes Pockels,,1862-1935,German chemist,German chemist
Vera Popova,,1867-1896,Russian chemist,Russian chemist
Anna SundstrÃ¶m,,1785-1871,Swedish chemist,Swedish chemist
Ellen Swallow Richards,,1842-1911,American industrial and environmental chemist,American industrial and environmental chemist
Margarete Traube,,1856-1912,German-born chemist who lived in Italy,German-born chemist who lived in Italy
Anna Volkova,,1800-1876,Russian chemist,Russian chemist
Martha Annie Whiteley,,1866-1956,English chemist and mathematician,English chemist and mathematician
Nadezhda Olimpievna Ziber-Shumova,,1914,Russian chemist,Russian chemist
Mary Dicas,,1800-1815,maker of scientific instruments,maker of scientific instruments
Emily Roebling,,1844-1903,American civil engineer,American civil engineer
Florence Bascom,,1862-1945,American geologist,American geologist
Etheldred Benett,,1776-1845,British geologist,British geologist
Mary Buckland,,1797-1857,British paleontologist and marine biologist,British paleontologist and marine biologist
Margaret Crosfield,,1859-1952,British paleontologist and geologist,British paleontologist and geologist
Maria Gordon,,1896-1939,Scottish geologist,Scottish geologist
Mary Emilie Holmes,,1850-1906,American geologist and educator,American geologist and educator
Charlotte Murchison,,1788-1869,Scottish geologist,Scottish geologist
Elizabeth Philpot,,1780-1857,British paleontologist,British paleontologist
Tabitha Babbitt,,1779-1853,American inventor and tool maker,American inventor and tool maker
Mary Brush,,1815,American inventor,American inventor
Martha Coston,,1826-1904,American inventor,American inventor
Ellen Eglin,,1849-1890,American inventor,American inventor
Caroline Eichler,,1809-1843,"German inventor, instrument maker and prostheses designer.","German inventor, instrument maker and prostheses designer."
Hanna HammarstrÃ¶m,,1829-1909,Swedish inventor,Swedish inventor
Mary Kies,,1752-1837,American inventor,American inventor
Margaret E. Knight,,1838-1914,"American inventor, first woman awarded a U.S. patent","American inventor, first woman awarded a U.S. patent"
Huang LÃ¼,,1829,Chinese optic inventor,Chinese optic inventor
Sofia Kovalevskaya,,1850-1891,Russian mathematician,Russian mathematician
Augusta Ada Byron Lovelace,,1815-1851,British mathematician,British mathematician
Emilie Martin,,1869-1936,American mathematician,American mathematician
Florence Nightingale,,1820-1910,British statistician and nurse,British statistician and nurse
Emmy Noether,,1882-1935,German mathematician,German mathematician
Alice Catherine Evans,,1881-1975,American microbiologist,American microbiologist
Kadambini Ganguly,,,,
Rachel Alcock,,1862-1939,British physiologist,British physiologist
